Account Number,Subscriber Name,Barangay,Current (PHP),1-30 Days (PHP),31-60 Days (PHP),61-90 Days (PHP),90+ Days (PHP),Total Balance (PHP)
SUB-202609-0001,Juan Dela Cruz,Casisang,1500.00,0.00,0.00,0.00,0.00,1500.00
SUB-202609-0002,Maria Clara Santos,Sumpong,0.00,1800.00,0.00,0.00,0.00,1800.00
SUB-202609-0003,Bukidnon Agri Trading,Poblacion,2499.00,2499.00,0.00,0.00,0.00,4998.00
SUB-202609-0004,Antonio Luna,Kalasungay,0.00,0.00,1299.00,0.00,0.00,1299.00
SUB-202609-0005,Gabriela Silang,San Jose,0.00,0.00,0.00,1500.00,0.00,1500.00
SUB-202609-0006,Melchora Aquino,Aglayan,0.00,0.00,0.00,0.00,3599.00,3599.00
SUB-202609-0007,Jose Rizal Tech Enterprise,Poblacion,3500.00,3500.00,3500.00,0.00,0.00,10500.00
SUB-202609-0008,Andres Bonifacio Hardware,Casisang,0.00,1299.00,1299.00,1299.00,2598.00,6495.00
SUB-202609-0009,Emilio Jacinto,Sumpong,1299.00,0.00,0.00,0.00,0.00,1299.00
SUB-202609-0010,Apolinario Mabini Pharmacy,Poblacion,0.00,2499.00,2499.00,0.00,0.00,4998.00
SUB-202609-0011,'=TOTAL COOPERATIVE,Barangay 1,1800.00,0.00,0.00,0.00,0.00,1800.00
SUB-202609-0012,'+SUMPONG INTERNET CAFE,Sumpong,2499.00,2499.00,0.00,0.00,0.00,4998.00
